Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
452821,Jack Harlow,WHATS POPPIN,1jaTQ3nqY3oAAYyCTbIvnM,74,2020,hip-hop,0.923,0.604,11,-6.671,0,0.245,0.017,0.0,0.272,0.826,145.062,139741,4
433225,Marshmello,Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,74,2020,dance,0.63,0.633,4,-7.088,1,0.0457,0.00776,0.0,0.0541,0.452,93.995,172762,4
433222,Ariana Grande,pov,3UoULw70kMsiVXxW0L3A33,74,2020,dance,0.487,0.534,0,-5.664,0,0.0555,0.36,0.0,0.1,0.173,131.798,201882,4
506689,"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),5B0kgjHULYJhAQkK5XsMoC,74,2021,hip-hop,0.493,0.653,0,-5.666,0,0.0466,0.269,0.0,0.511,0.852,142.347,121573,4
1367726,Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),03tqyYWC9Um2ZqU0ZN849H,74,2010,hip-hop,0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497,263773,4
612569,Daniel Caesar,Let Me Go,4AwJSk491AvHk2AAJReGzZ,74,2023,pop,0.601,0.481,7,-8.366,0,0.0634,0.689,0.0033,0.109,0.484,152.994,216524,4
506726,Tory Lanez,Lavender Sunflower,1au2UduxcvHfa0fZS3Szci,74,2021,hip-hop,0.607,0.735,4,-6.065,0,0.095,0.253,0.0,0.11,0.964,88.894,151967,4
608998,SiM,Under the Tree,7qKXSF8MilgyiL52oq1AA0,74,2023,metal,0.272,0.888,11,-1.757,0,0.068,0.00413,0.0,0.232,0.637,159.893,121692,4
564164,ATEEZ,HALAZIA,5cTnKClHyczcUhFT8MKBZe,74,2022,k-pop,0.482,0.884,6,-4.538,0,0.0668,0.000677,0.000575,0.0883,0.377,171.915,197026,4
329883,Amigdala,Kukira Kau Rumah,1xdp8tXLTGbPeUSEODP9N7,74,2018,folk,0.643,0.275,0,-15.462,1,0.0315,0.939,0.454,0.115,0.603,90.022,206712,4
564167,TOMORROW X TOGETHER,Good Boy Gone Bad,1HsSIPLTQT354yJcQGfEY3,74,2022,k-pop,0.475,0.695,1,-5.919,1,0.102,0.0159,0.0,0.125,0.552,100.009,191038,4
605456,Gorillaz,Controllah (feat. MC Bin Laden),3BmGfswCrv2p1It4oCdtU6,74,2023,hip-hop,0.777,0.895,1,-3.24,1,0.0403,0.231,2.45e-06,0.209,0.715,104.968,150317,4
350306,Sebastian Yatra,No Hay Nadie Más,3IPJg1sdqLj12kFIndaonN,74,2018,pop,0.695,0.379,6,-9.096,1,0.0339,0.861,0.0,0.106,0.808,105.108,199733,4
